ACCOUNT_AGE,CUSTOMER_AGE,POLICY_NUMBER,POLICY_START_DATE,POLICY_STATE,LIABILITY_AMOUNT,DEDUCTABLE,ANNUAL_FEE,UMBRELLA_LIMIT,ZIP_CODE,GENDER,EDUCATION_LEVEL,OCCUPATION,CAPITAL_GAINS,INCIDENT_DATE,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR,NUMBER_OF_VEHICLES,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,FRAUD
473,58,892874,1992-10-19,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,55700,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y
70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,63600,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,NO,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N
140,31,275265,2004-11-15,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,53500,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N
160,37,921202,2014-12-28,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,7700,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N
196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,29700,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,NO,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N
460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,NO,47160,0,5240,41920,Suburu,Impreza,2011,N
217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,46700,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,NO,1,2,NO,37840,0,4730,33110,Accura,RSX,1996,N
370,55,285496,1994-05-27,IL,100/300,2000,972.18,0,443920,MALE,High School,prof-specialty,4500,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,NO,2,2,NO,98160,8180,16360,73620,Dodge,RAM,2011,Y
237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N
8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y
257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,-29200,2015-01-28,Parked Car,,Minor Damage,Police,PA,Arlington,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N
202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,800,2015-01-07,Vehicle Theft,,Minor Damage,,VA,Northbrook,5,1,YES,2,1,NO,5720,1040,520,4160,Suburu,Forrestor,2003,Y
224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N
241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,53200,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,NO,75600,12600,12600,50400,Toyota,Corolla,2005,N
166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,27500,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,NO,2,2,NO,67140,7460,7460,52220,Ford,F150,2006,Y
155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,81100,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N
114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,-12600,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,NO,1,2,NO,77110,14020,14020,49070,Suburu,Impreza,2015,N
149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N
147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,4100,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y
62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,NO,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y
289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,0,2015-01-18,Parked Car,,Minor Damage,,WV,Arlington,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N
431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,65700,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,NO,2,0,NO,62300,12460,6230,43610,Jeep,Wrangler,2007,N
199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,48500,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,NO,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y
79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,NO,40000,8000,4000,28000,BMW,M5,2010,N
116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,NO,1,1,NO,97080,16180,16180,64720,BMW,X5,2001,Y
37,23,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N
106,30,790442,2003-04-13,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,-10500,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N
269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,7700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,NO,56400,11280,11280,33840,Toyota,Highlander,2014,N
265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,NO,55120,6890,0,48230,Accura,MDX,2002,N
163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,35300,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,NO,77110,0,14020,63090,Honda,Civic,2014,N
355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y
175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,0,2015-02-26,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,5,1,NO,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N
192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,NO,76600,15320,7660,53620,Mercedes,C300,2000,N
430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,NO,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N
91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,0,2015-01-17,Vehicle Theft,,Trivial Damage,,NY,Arlington,4,1,NO,1,2,NO,7260,1320,660,5280,BMW,M5,2008,N
217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,0,2015-02-22,Vehicle Theft,,Minor Damage,,WV,Northbend,8,1,NO,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N
223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,41900,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,NO,70510,12820,12820,44870,Suburu,Forrestor,1999,N
195,39,282195,2014-08-17,OH,250/500,1000,1393.57,0,478423,MALE,PhD,machine-op-inspct,8000,2015-02-27,Parked Car,,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N
22,26,420810,2007-08-11,OH,100/300,1000,1276.57,0,467784,MALE,PhD,craft-repair,71500,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N
439,56,524836,2008-11-20,IN,250/500,500,1082.49,0,606714,FEMALE,PhD,prof-specialty,-18900,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,NO,2,3,NO,56430,0,6270,50160,Honda,CRV,2014,N
94,32,307195,1995-10-18,IN,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,0,2015-02-22,Parked Car,,Minor Damage,,VA,Riverwood,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N
11,39,623648,1993-05-19,IL,250/500,2000,1470.06,0,431683,MALE,PhD,other-service,10800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N
151,36,485372,2005-02-26,OH,250/500,2000,870.63,0,431725,FEMALE,MD,adm-clerical,36300,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N
154,34,598554,1990-02-14,IN,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,36900,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,NO,69480,15440,0,54040,Nissan,Maxima,2014,Y
245,44,303987,1993-09-30,IL,500/1000,1000,1168.2,0,452787,MALE,JD,handlers-cleaners,69100,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N
119,32,343161,2014-06-10,IL,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N
215,42,519312,2008-10-28,OH,500/1000,500,1848.81,0,435489,MALE,JD,transport-moving,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y
295,42,132902,2007-04-24,OH,250/500,2000,1641.73,5000000,450149,MALE,PhD,sales,62400,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y
254,39,332867,1993-12-13,IN,100/300,500,1362.87,0,458364,FEMALE,MD,exec-managerial,35700,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y
107,31,356590,2011-08-17,IN,250/500,500,1239.22,7000000,476458,FEMALE,High School,tech-support,-47800,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,Y
478,64,346002,1990-08-20,OH,250/500,500,835.02,0,602433,FEMALE,Associate,adm-clerical,59600,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N
128,30,500533,1994-02-11,OH,100/300,1000,1061.33,0,478575,MALE,MD,machine-op-inspct,-22900,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N
338,49,348209,1994-02-22,IN,500/1000,1000,1279.08,0,449718,MALE,MD,other-service,-51500,2015-02-27,Parked Car,,Minor Damage,,NC,Riverwood,13,1,NO,0,1,NO,4300,860,860,2580,Ford,F150,2004,N
271,42,486676,2011-08-15,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,prof-specialty,6200,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,NO,2,3,NO,68310,12420,6210,49680,Audi,A3,2003,Y
222,41,260845,1998-11-11,OH,100/300,2000,1055.53,0,441992,FEMALE,MD,armed-forces,-12500,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,Y
199,41,657045,1995-12-04,OH,250/500,1000,895.83,0,452597,FEMALE,Associate,sales,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N
215,37,761189,2002-12-28,IN,100/300,500,1632.93,0,614417,FEMALE,College,transport-moving,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002,N
192,40,175177,2004-04-15,IL,100/300,1000,1405.99,0,472895,FEMALE,Associate,sales,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,N
120,35,116700,2001-02-02,OH,100/300,1000,1425.54,0,475847,FEMALE,High School,transport-moving,78300,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,N
270,45,166264,2010-01-12,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,handlers-cleaners,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N
319,47,527945,1992-04-14,IN,250/500,500,1307.11,0,600648,MALE,College,transport-moving,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,NO,59730,10860,10860,38010,Audi,A3,2005,N
194,39,627540,2010-05-21,OH,500/1000,1000,1489.24,6000000,608335,FEMALE,JD,other-service,-45000,2015-01-24,Vehicle Theft,,Minor Damage,,SC,Springfield,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,95,2004,N
227,38,279422,2013-10-27,OH,500/1000,500,976.67,0,471600,FEMALE,PhD,handlers-cleaners,0,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,NO,1,2,NO,72200,14440,7220,50540,BMW,M5,2013,Y
137,31,484200,1994-10-12,OH,250/500,2000,1340.43,0,441175,MALE,High School,exec-managerial,12100,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005,N
244,40,645258,1997-07-04,OH,500/1000,2000,1267.81,5000000,603123,FEMALE,Masters,exec-managerial,0,2015-01-03,Vehicle Theft,,Trivial Damage,,NC,Northbrook,10,1,NO,2,1,NO,6600,660,1320,4620,Accura,TL,2005,N
78,29,694662,2011-02-15,IL,250/500,1000,1234.2,6000000,457767,MALE,Masters,other-service,0,2015-01-29,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,N
200,35,960680,1994-08-21,IN,250/500,2000,1318.06,0,618498,MALE,High School,exec-managerial,-23300,2015-01-19,Vehicle Theft,,Trivial Damage,,VA,Hillsdale,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N
284,48,498140,1997-05-15,IN,500/1000,2000,769.95,0,605486,MALE,Masters,prof-specialty,-44200,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,NO,2,3,NO,60940,5540,11080,44320,Audi,A3,2013,Y
275,41,498875,1996-10-26,OH,100/300,2000,1514.72,0,617970,MALE,High School,transport-moving,35700,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,YES,0,1,NO,58300,5830,11660,40810,Suburu,Legacy,2007,N
153,34,798177,2006-03-04,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,priv-house-serv,800,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,NO,2,1,NO,68400,11400,11400,45600,Ford,F150,2007,N
134,32,614763,1991-01-02,IL,500/1000,500,1612.43,0,456762,FEMALE,MD,other-service,36400,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,NO,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015,N
31,36,679370,1999-08-15,IL,500/1000,2000,1318.24,9000000,601748,FEMALE,College,prof-specialty,-78600,2015-01-30,Parked Car,,Trivial Damage,,WV,Arlington,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,Neon,2002,N
41,25,958857,1992-01-15,IN,100/300,1000,1226.83,0,607763,FEMALE,College,exec-managerial,-56100,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,YES,2,0,NO,45120,0,5640,39480,Accura,MDX,2011,Y
127,29,686816,1999-12-07,OH,250/500,2000,1326.44,5000000,436973,FEMALE,High School,sales,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,NO,66950,10300,10300,46350,Saab,93,1995,N
61,23,127754,1993-06-06,IL,250/500,2000,1136.83,4000000,471300,FEMALE,Associate,tech-support,-62400,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,NO,0,3,NO,98340,8940,17880,71520,Honda,Accord,2004,Y
207,42,918629,2000-10-03,IL,250/500,2000,1322.78,0,453277,MALE,PhD,farming-fishing,55200,2015-02-28,Parked Car,,Trivial Damage,,WV,Springfield,9,1,NO,0,1,NO,5900,590,590,4720,BMW,X5,2007,N
219,43,731450,2010-12-29,IN,100/300,1000,1483.25,0,465100,FEMALE,MD,exec-managerial,69900,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,NO,1,1,NO,70680,5890,11780,53010,Ford,Fusion,2009,N
271,42,307447,1990-03-17,IL,100/300,500,1515.3,0,603248,FEMALE,High School,machine-op-inspct,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,2005,N
80,25,992145,2012-03-01,IL,100/300,2000,1075.18,5000000,601112,FEMALE,PhD,armed-forces,9300,2015-02-21,Vehicle Theft,,Minor Damage,,OH,Northbrook,5,1,NO,2,0,YES,6930,1260,630,5040,Toyota,Highlander,2001,N
325,47,900628,2006-02-05,IN,500/1000,1000,1690.27,0,438830,FEMALE,Associate,protective-serv,61500,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,11,1,YES,0,3,NO,72930,6630,6630,59670,Dodge,RAM,2006,Y
29,25,235220,2014-11-01,IL,250/500,2000,1352.83,0,464959,MALE,Masters,farming-fishing,-71700,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,2013,Y
295,48,740019,2009-06-17,OH,250/500,1000,1148.73,0,439787,FEMALE,College,machine-op-inspct,0,2015-02-22,Parked Car,,Trivial Damage,,WV,Columbus,6,1,NO,1,2,YES,5400,900,900,3600,Saab,95,1999,N
